algorithm,n,type,domain,sample,status,time_seconds,max_rss_kb,error
naive,1024,densa,D0,a,OK,0.866049,15872,
strassen,1024,densa,D0,a,TIMEOUT,,,supero_limite_de_tiempo
naive,1024,densa,D0,b,OK,0.835153,15872,
strassen,1024,densa,D0,b,TIMEOUT,,,supero_limite_de_tiempo
naive,1024,densa,D0,c,OK,0.838108,15872,
strassen,1024,densa,D0,c,TIMEOUT,,,supero_limite_de_tiempo
strassen,1024,densa,D10,a,TIMEOUT,,,supero_limite_de_tiempo
strassen,1024,densa,D10,b,TIMEOUT,,,supero_limite_de_tiempo
naive,1024,densa,D10,c,OK,0.834208,15872,
strassen,1024,densa,D10,c,TIMEOUT,,,supero_limite_de_tiempo
naive,1024,diagonal,D0,a,OK,0.836134,15872,
strassen,1024,diagonal,D0,a,TIMEOUT,,,supero_limite_de_tiempo
naive,1024,diagonal,D0,b,OK,0.844492,15872,
strassen,1024,diagonal,D0,b,TIMEOUT,,,supero_limite_de_tiempo
naive,1024,diagonal,D0,c,OK,0.959601,15872,
strassen,1024,diagonal,D0,c,TIMEOUT,,,supero_limite_de_tiempo
naive,1024,diagonal,D10,a,OK,0.85794,15872,
strassen,1024,diagonal,D10,a,TIMEOUT,,,supero_limite_de_tiempo
naive,1024,diagonal,D10,b,OK,0.840225,15872,
strassen,1024,diagonal,D10,b,TIMEOUT,,,supero_limite_de_tiempo
naive,1024,diagonal,D10,c,OK,0.844974,15872,
strassen,1024,diagonal,D10,c,TIMEOUT,,,supero_limite_de_tiempo
naive,1024,dispersa,D0,a,OK,0.837091,15872,
strassen,1024,dispersa,D0,a,TIMEOUT,,,supero_limite_de_tiempo
naive,1024,dispersa,D0,b,OK,0.839489,15872,
strassen,1024,dispersa,D0,b,TIMEOUT,,,supero_limite_de_tiempo
naive,1024,dispersa,D0,c,OK,0.836764,15872,
strassen,1024,dispersa,D0,c,TIMEOUT,,,supero_limite_de_tiempo
naive,1024,dispersa,D10,a,OK,0.928487,15872,
strassen,1024,dispersa,D10,a,TIMEOUT,,,supero_limite_de_tiempo
naive,1024,dispersa,D10,b,OK,1.11517,15744,
strassen,1024,dispersa,D10,b,TIMEOUT,,,supero_limite_de_tiempo
naive,1024,dispersa,D10,c,OK,0.845534,15872,
strassen,1024,dispersa,D10,c,TIMEOUT,,,supero_limite_de_tiempo
naive,16,densa,D0,a,OK,7.12e-06,3456,
strassen,16,densa,D0,a,OK,0.00100475,3584,
naive,16,densa,D0,b,OK,5.469e-06,3456,
strassen,16,densa,D0,b,OK,0.00100795,3584,
naive,16,densa,D0,c,OK,4.025e-06,3456,
strassen,16,densa,D0,c,OK,0.00102613,3584,
naive,16,densa,D10,a,OK,4.209e-06,3456,
