algorithm,n,type,domain,sample,status,time_seconds,max_rss_kb,error
merge,10000000,aleatorio,D1,a,OK,0.666598,101028,
quick,10000000,aleatorio,D1,a,TIMEOUT,,,supero_limite_de_tiempo
patience,10000000,aleatorio,D1,a,OK,1.66086,84436,
std,10000000,aleatorio,D1,a,OK,0.185985,81524,
merge,10000000,aleatorio,D1,b,OK,0.685359,101048,
quick,10000000,aleatorio,D1,b,TIMEOUT,,,supero_limite_de_tiempo
patience,10000000,aleatorio,D1,b,OK,1.81166,84436,
std,10000000,aleatorio,D1,b,OK,0.192335,81748,
merge,10000000,aleatorio,D1,c,OK,0.668208,101172,
quick,10000000,aleatorio,D1,c,TIMEOUT,,,supero_limite_de_tiempo
patience,10000000,aleatorio,D1,c,OK,1.66243,84308,
std,10000000,aleatorio,D1,c,OK,0.183605,81748,
merge,10000000,aleatorio,D7,a,OK,1.22799,101048,
quick,10000000,aleatorio,D7,a,OK,0.740929,81748,
patience,10000000,aleatorio,D7,a,OK,4.31424,125908,
std,10000000,aleatorio,D7,a,OK,0.661379,81620,
merge,10000000,aleatorio,D7,b,OK,1.23059,101172,
quick,10000000,aleatorio,D7,b,OK,0.741825,81568,
patience,10000000,aleatorio,D7,b,OK,4.33073,125908,
std,10000000,aleatorio,D7,b,OK,0.650409,81748,
merge,10000000,aleatorio,D7,c,OK,1.26181,101044,
quick,10000000,aleatorio,D7,c,OK,0.742171,81748,
patience,10000000,aleatorio,D7,c,OK,4.28223,125908,
std,10000000,aleatorio,D7,c,OK,0.646699,81620,
merge,10000000,ascendente,D1,a,OK,0.484037,101048,
quick,10000000,ascendente,D1,a,TIMEOUT,,,supero_limite_de_tiempo
patience,10000000,ascendente,D1,a,OK,1.47914,147416,
std,10000000,ascendente,D1,a,OK,0.07943,81752,
merge,10000000,ascendente,D1,b,OK,0.444901,101172,
quick,10000000,ascendente,D1,b,TIMEOUT,,,supero_limite_de_tiempo
patience,10000000,ascendente,D1,b,OK,1.49468,147412,
std,10000000,ascendente,D1,b,OK,0.089102,81620,
merge,10000000,ascendente,D1,c,OK,0.46319,101044,
quick,10000000,ascendente,D1,c,TIMEOUT,,,supero_limite_de_tiempo
patience,10000000,ascendente,D1,c,OK,1.4794,147288,
std,10000000,ascendente,D1,c,OK,0.080671,81752,
merge,10000000,ascendente,D7,a,OK,0.445915,101044,
quick,10000000,ascendente,D7,a,OK,0.173275,81528,
patience,10000000,ascendente,D7,a,TIMEOUT,,,supero_limite_de_tiempo
std,10000000,ascendente,D7,a,OK,0.120997,81620,
merge,10000000,ascendente,D7,b,OK,0.45858,101044,
quick,10000000,ascendente,D7,b,OK,0.181577,81748,
patience,10000000,ascendente,D7,b,TIMEOUT,,,supero_limite_de_tiempo
std,10000000,ascendente,D7,b,OK,0.11886,81624,
merge,10000000,ascendente,D7,c,OK,0.467685,101176,
quick,10000000,ascendente,D7,c,OK,0.171285,81752,
patience,10000000,ascendente,D7,c,OK,15.9793,5678572,
std,10000000,ascendente,D7,c,OK,0.118027,81748,
merge,10000000,descendente,D1,a,OK,0.504038,101044,
quick,10000000,descendente,D1,a,TIMEOUT,,,supero_limite_de_tiempo
patience,10000000,descendente,D1,a,OK,0.671915,83924,
std,10000000,descendente,D1,a,OK,0.0839203,81748,
merge,10000000,descendente,D1,b,OK,0.459271,101176,
quick,10000000,descendente,D1,b,TIMEOUT,,,supero_limite_de_tiempo
patience,10000000,descendente,D1,b,OK,0.707957,84052,
std,10000000,descendente,D1,b,OK,0.0849745,81748,
merge,10000000,descendente,D1,c,OK,0.469383,101044,
quick,10000000,descendente,D1,c,TIMEOUT,,,supero_limite_de_tiempo
patience,10000000,descendente,D1,c,OK,0.661838,83924,
std,10000000,descendente,D1,c,OK,0.0826253,81752,
merge,10000000,descendente,D7,a,OK,0.495316,101176,
quick,10000000,descendente,D7,a,OK,0.238262,81624,
patience,10000000,descendente,D7,a,OK,0.664306,83928,
std,10000000,descendente,D7,a,OK,0.107896,81540,
merge,10000000,descendente,D7,b,OK,0.498062,101176,
quick,10000000,descendente,D7,b,OK,0.235046,81748,
patience,10000000,descendente,D7,b,OK,0.660711,84052,
std,10000000,descendente,D7,b,OK,0.106177,81752,
merge,10000000,descendente,D7,c,OK,0.499222,101172,
quick,10000000,descendente,D7,c,OK,0.233707,81752,
patience,10000000,descendente,D7,c,OK,0.672204,84056,
std,10000000,descendente,D7,c,OK,0.10562,81748,
merge,100000,aleatorio,D1,a,OK,0.00640091,4312,
quick,100000,aleatorio,D1,a,OK,0.22727,4568,
patience,100000,aleatorio,D1,a,OK,0.0169674,4692,
std,100000,aleatorio,D1,a,OK,0.0017776,4312,
merge,100000,aleatorio,D1,b,OK,0.00556047,4444,
quick,100000,aleatorio,D1,b,OK,0.224322,4568,
patience,100000,aleatorio,D1,b,OK,0.0166231,4692,
std,100000,aleatorio,D1,b,OK,0.00180218,4440,
merge,100000,aleatorio,D1,c,OK,0.00600581,4312,
quick,100000,aleatorio,D1,c,OK,0.228507,4564,
patience,100000,aleatorio,D1,c,OK,0.0163511,4692,
std,100000,aleatorio,D1,c,OK,0.00158248,4440,
merge,100000,aleatorio,D7,a,OK,0.00899514,4444,
quick,100000,aleatorio,D7,a,OK,0.00562566,4436,
patience,100000,aleatorio,D7,a,OK,0.0260522,4824,
std,100000,aleatorio,D7,a,OK,0.00510875,4436,
merge,100000,aleatorio,D7,b,OK,0.00949535,4440,
quick,100000,aleatorio,D7,b,OK,0.00554343,4308,
patience,100000,aleatorio,D7,b,OK,0.027437,4820,
std,100000,aleatorio,D7,b,OK,0.0050785,4436,
merge,100000,aleatorio,D7,c,OK,0.00918984,4444,
quick,100000,aleatorio,D7,c,OK,0.00567869,4308,
patience,100000,aleatorio,D7,c,OK,0.0272373,4952,
std,100000,aleatorio,D7,c,OK,0.00492635,4436,
merge,100000,ascendente,D1,a,OK,0.00379658,4440,
quick,100000,ascendente,D1,a,OK,0.226452,4564,
patience,100000,ascendente,D1,a,OK,0.0154459,4952,
std,100000,ascendente,D1,a,OK,0.000554966,4436,
merge,100000,ascendente,D1,b,OK,0.0036252,4440,
quick,100000,ascendente,D1,b,OK,0.224837,4440,
patience,100000,ascendente,D1,b,OK,0.0145945,4948,
std,100000,ascendente,D1,b,OK,0.000541796,4436,
merge,100000,ascendente,D1,c,OK,0.0037485,4312,
quick,100000,ascendente,D1,c,OK,0.227661,4564,
patience,100000,ascendente,D1,c,OK,0.0144953,4948,
std,100000,ascendente,D1,c,OK,0.000555089,4308,
merge,100000,ascendente,D7,a,OK,0.00366382,4316,
quick,100000,ascendente,D7,a,OK,0.00124468,4436,
patience,100000,ascendente,D7,a,OK,0.120853,91992,
std,100000,ascendente,D7,a,OK,0.000702965,4436,
merge,100000,ascendente,D7,b,OK,0.0036816,4444,
quick,100000,ascendente,D7,b,OK,0.00104089,4436,
patience,100000,ascendente,D7,b,OK,0.124915,91984,
std,100000,ascendente,D7,b,OK,0.000612612,4312,
merge,100000,ascendente,D7,c,OK,0.00358331,4316,
quick,100000,ascendente,D7,c,OK,0.000914322,4436,
patience,100000,ascendente,D7,c,OK,0.124746,91868,
std,100000,ascendente,D7,c,OK,0.000653809,4436,
merge,100000,descendente,D1,a,OK,0.00358959,4316,
quick,100000,descendente,D1,a,OK,0.226653,4564,
patience,100000,descendente,D1,a,OK,0.0067883,4312,
std,100000,descendente,D1,a,OK,0.000569649,4440,
merge,100000,descendente,D1,b,OK,0.00382808,4440,
quick,100000,descendente,D1,b,OK,0.230133,4436,
patience,100000,descendente,D1,b,OK,0.00664813,4312,
std,100000,descendente,D1,b,OK,0.000584523,4440,
merge,100000,descendente,D1,c,OK,0.00363065,4316,
quick,100000,descendente,D1,c,OK,0.224005,4440,
patience,100000,descendente,D1,c,OK,0.00660199,4308,
std,100000,descendente,D1,c,OK,0.000544556,4440,
merge,100000,descendente,D7,a,OK,0.00383689,4440,
quick,100000,descendente,D7,a,OK,0.00162832,4436,
patience,100000,descendente,D7,a,OK,0.00683443,4180,
std,100000,descendente,D7,a,OK,0.000558811,4308,
merge,100000,descendente,D7,b,OK,0.00381969,4444,
quick,100000,descendente,D7,b,OK,0.00151545,4436,
patience,100000,descendente,D7,b,OK,0.00669494,4312,
std,100000,descendente,D7,b,OK,0.000600838,4312,
merge,100000,descendente,D7,c,OK,0.00403853,4440,
quick,100000,descendente,D7,c,OK,0.00153897,4440,
patience,100000,descendente,D7,c,OK,0.00713899,4180,
std,100000,descendente,D7,c,OK,0.000538042,4436,
merge,1000,aleatorio,D1,a,OK,6.1314e-05,3328,
quick,1000,aleatorio,D1,a,OK,4.3655e-05,3328,
